nohup: ignoring input
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/7/2025 6:17:09 PM 193.32.162.211 Returned 200 in 2 ms
 HTTP  9/7/2025 6:29:06 PM 79.124.58.198 GET /securityRealm/user/admin/search/index?q=a
 HTTP  9/7/2025 6:29:06 PM 79.124.58.198 Returned 301 in 2 ms
 HTTP  9/7/2025 6:29:07 PM 79.124.58.198 GET /securityRealm/user/admin/search
 HTTP  9/7/2025 6:29:07 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 6:33:27 PM 79.124.58.198 GET /
 HTTP  9/7/2025 6:33:27 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 6:38:14 PM 79.124.58.198 POST /Autodiscover/Autodiscover.xml
 HTTP  9/7/2025 6:38:14 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 6:46:08 PM 79.124.58.198 POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  9/7/2025 6:46:08 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 6:52:50 PM 161.35.87.217 GET /
 HTTP  9/7/2025 6:52:50 PM 161.35.87.217 Returned 200 in 1 ms
 HTTP  9/7/2025 6:53:49 PM 79.124.58.198 GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
 HTTP  9/7/2025 6:53:49 PM 79.124.58.198 Returned 200 in 2 ms
 HTTP  9/7/2025 6:55:25 PM 127.0.0.1 GET /
 HTTP  9/7/2025 6:55:25 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 6:57:50 PM 79.124.58.198 GET /?XDEBUG_SESSION_START=phpstorm
 HTTP  9/7/2025 6:57:50 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:05:15 PM 79.124.58.198 GET /console/
 HTTP  9/7/2025 7:05:15 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:14:43 PM 205.210.31.173 GET /
 HTTP  9/7/2025 7:14:43 PM 205.210.31.173 Returned 200 in 1 ms
 HTTP  9/7/2025 7:15:05 PM 79.124.58.198 GET /_ignition/execute-solution
 HTTP  9/7/2025 7:15:05 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:24:41 PM 79.124.58.198 GET /
 HTTP  9/7/2025 7:24:41 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:25:07 PM 205.210.31.6 GET /
 HTTP  9/7/2025 7:25:07 PM 205.210.31.6 Returned 200 in 1 ms
 HTTP  9/7/2025 7:26:39 PM 185.169.4.150 GET /
 HTTP  9/7/2025 7:26:39 PM 185.169.4.150 Returned 200 in 1 ms
 HTTP  9/7/2025 7:26:42 PM 79.124.58.198 GET /
 HTTP  9/7/2025 7:26:42 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:28:52 PM 40.119.28.203 GET /
 HTTP  9/7/2025 7:28:52 PM 40.119.28.203 Returned 200 in 1 ms
 HTTP  9/7/2025 7:35:11 PM 79.124.58.198 GET /actuator/gateway/routes
 HTTP  9/7/2025 7:35:11 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:41:01 PM 79.124.58.198 GET /geoserver
 HTTP  9/7/2025 7:41:01 PM 79.124.58.198 Returned 200 in 1 ms
 HTTP  9/7/2025 7:54:21 PM 206.168.34.213 GET /
 HTTP  9/7/2025 7:54:21 PM 206.168.34.213 Returned 200 in 1 ms
 HTTP  9/7/2025 7:54:26 PM 206.168.34.213 GET /
 HTTP  9/7/2025 7:54:26 PM 206.168.34.213 Returned 200 in 2 ms
 HTTP  9/7/2025 7:54:28 PM 206.168.34.213 GET /favicon.ico
 HTTP  9/7/2025 7:54:28 PM 206.168.34.213 Returned 200 in 1 ms
 HTTP  9/7/2025 7:54:38 PM 206.168.34.213 GET /favicon.ico
 HTTP  9/7/2025 7:54:38 PM 206.168.34.213 Returned 200 in 1 ms
 HTTP  9/7/2025 7:54:40 PM 206.168.34.213 GET /sitemap.xml
 HTTP  9/7/2025 7:54:40 PM 206.168.34.213 Returned 200 in 1 ms
 HTTP  9/7/2025 8:05:35 PM 45.38.44.221 GET /login
 HTTP  9/7/2025 8:05:35 PM 45.38.44.221 Returned 200 in 1 ms
 HTTP  9/7/2025 8:48:41 PM 198.235.24.228 GET /
 HTTP  9/7/2025 8:48:41 PM 198.235.24.228 Returned 200 in 1 ms
 HTTP  9/7/2025 9:16:36 PM 45.38.44.221 GET /login
 HTTP  9/7/2025 9:16:36 PM 45.38.44.221 Returned 200 in 1 ms
 HTTP  9/7/2025 9:20:43 PM 127.0.0.1 GET /
 HTTP  9/7/2025 9:20:43 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 9:32:12 PM 45.33.109.17 GET /
 HTTP  9/7/2025 9:32:12 PM 45.33.109.17 Returned 200 in 1 ms
 HTTP  9/7/2025 9:32:22 PM 66.228.53.136 GET /
 HTTP  9/7/2025 9:32:22 PM 66.228.53.136 Returned 200 in 1 ms
 HTTP  9/7/2025 9:53:05 PM 35.216.189.16 GET /
 HTTP  9/7/2025 9:53:05 PM 35.216.189.16 Returned 200 in 1 ms
 HTTP  9/7/2025 9:54:34 PM 45.135.193.253 GET /
 HTTP  9/7/2025 9:54:34 PM 45.135.193.253 Returned 200 in 1 ms
 HTTP  9/7/2025 9:57:03 PM 85.0.17.103 GET /
 HTTP  9/7/2025 9:57:03 PM 85.0.17.103 Returned 200 in 1 ms
 HTTP  9/7/2025 11:08:33 PM 45.38.44.221 GET /login
 HTTP  9/7/2025 11:08:33 PM 45.38.44.221 Returned 200 in 1 ms
 HTTP  9/7/2025 11:28:40 PM 121.150.180.173 GET /
 HTTP  9/7/2025 11:28:40 PM 121.150.180.173 Returned 200 in 1 ms
 HTTP  9/7/2025 11:48:56 PM 44.203.97.139 GET /
 HTTP  9/7/2025 11:48:56 PM 44.203.97.139 Returned 200 in 1 ms
 HTTP  9/7/2025 11:49:51 PM 127.0.0.1 GET /robots.txt
 HTTP  9/7/2025 11:49:51 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/7/2025 11:49:52 PM 127.0.0.1 GET /
 HTTP  9/7/2025 11:49:52 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2025 12:21:01 AM 45.135.193.253 GET /
 HTTP  9/8/2025 12:21:01 AM 45.135.193.253 Returned 200 in 1 ms
 HTTP  9/8/2025 12:39:37 AM 45.38.44.221 GET /login
 HTTP  9/8/2025 12:39:37 AM 45.38.44.221 Returned 200 in 1 ms
 HTTP  9/8/2025 12:40:07 AM 206.168.34.200 GET /
 HTTP  9/8/2025 12:40:07 AM 206.168.34.200 Returned 200 in 1 ms
 HTTP  9/8/2025 12:40:14 AM 206.168.34.200 GET /
 HTTP  9/8/2025 12:40:14 AM 206.168.34.200 Returned 200 in 1 ms
 HTTP  9/8/2025 12:40:18 AM 206.168.34.200 GET /favicon.ico
 HTTP  9/8/2025 12:40:18 AM 206.168.34.200 Returned 200 in 1 ms
